Distribution,d_X,noise,sigma2_est,intercept,R2,n_times_var_mean
D0 Indep.,1,0.1,0.426916,4e-06,0.9997,0.4261
D0 Indep.,2,0.1,0.386665,5.9e-05,0.9991,0.4335
D0 Indep.,5,0.1,0.417029,2.6e-05,0.9998,0.4348
D1 Linear,1,0.1,0.01132,-1e-06,0.9997,0.0102
D1 Linear,2,0.1,0.00171,-1e-06,0.9935,0.001
D1 Linear,5,0.1,0.024761,-2e-05,0.9848,0.0082
D2 Quad.,1,0.1,0.090916,6e-06,0.9996,0.0936
D2 Quad.,2,0.1,0.023955,-8e-06,0.9969,0.0175
D2 Quad.,5,0.1,0.174501,-0.000109,0.9927,0.0811
D3 Cubic,1,0.1,0.156283,-7e-06,0.9998,0.1543
D3 Cubic,2,0.1,0.039021,-1.4e-05,0.9964,0.0279
D3 Cubic,5,0.1,0.124886,-5.8e-05,0.9962,0.0712
D4 Sine,1,0.1,0.024512,-6e-06,0.9981,0.0198
D4 Sine,2,0.1,0.013482,-9e-06,0.9893,0.0058
D4 Sine,5,0.1,0.047604,-3.3e-05,0.99,0.0195
D5 Cosine,1,0.1,0.186477,-1.7e-05,0.9998,0.1729
D5 Cosine,2,0.1,0.073983,-5e-06,0.9999,0.0698
D5 Cosine,5,0.1,0.20065,-0.000103,0.9955,0.1107
D6 Exp.,1,0.1,0.059972,-7e-06,0.9994,0.055
D6 Exp.,2,0.1,0.017102,-2e-06,0.9996,0.0153
D6 Exp.,5,0.1,0.050079,-3.2e-05,0.9913,0.023
D7 Log.,1,0.1,0.07781,-2e-06,0.9999,0.0757
D7 Log.,2,0.1,0.124817,-1.6e-05,0.9995,0.1119
D7 Log.,5,0.1,0.318986,-6.3e-05,0.9993,0.2609
D8 Step,1,0.1,0.119107,-1e-05,0.9997,0.1105
D8 Step,2,0.1,0.104224,-5.2e-05,0.9952,0.0604
D8 Step,5,0.1,0.1811,-4.9e-05,0.9989,0.1351
D9 Parab.,1,0.1,0.094558,-7e-06,0.9998,0.0889
D9 Parab.,2,0.1,0.021016,-9e-06,0.9946,0.014
D9 Parab.,5,0.1,0.147517,-9.2e-05,0.9931,0.0673
D0 Indep.,1,0.5,0.40073,5.8e-05,0.9988,0.4334
D0 Indep.,2,0.5,0.436209,-1.4e-05,1.0,0.4248
D0 Indep.,5,0.5,0.397447,4.3e-05,0.9997,0.4312
D1 Linear,1,0.5,0.177783,-2e-06,0.9999,0.1821
D1 Linear,2,0.5,0.142223,-1e-06,1.0,0.1399
D1 Linear,5,0.5,0.128668,-3.2e-05,0.9988,0.1006
D2 Quad.,1,0.5,0.341432,1.2e-05,0.9999,0.3526
D2 Quad.,2,0.5,0.259534,-8e-06,0.9999,0.2543
D2 Quad.,5,0.5,0.26615,-2.2e-05,0.9999,0.245
D3 Cubic,1,0.5,0.354552,2.2e-05,0.9999,0.3717
D3 Cubic,2,0.5,0.22183,-2.2e-05,0.9998,0.2038
D3 Cubic,5,0.5,0.187142,-2.5e-05,0.9998,0.1613
D4 Sine,1,0.5,0.244555,7e-06,1.0,0.2457
D4 Sine,2,0.5,0.266933,-1.4e-05,0.9999,0.2548
D4 Sine,5,0.5,0.284155,-2e-05,0.9999,0.2671
D5 Cosine,1,0.5,0.422811,3.2e-05,0.9999,0.4544
D5 Cosine,2,0.5,0.40579,6.6e-05,0.9993,0.4559
D5 Cosine,5,0.5,0.413788,2.5e-05,0.9998,0.4458
D6 Exp.,1,0.5,0.386462,1.8e-05,1.0,0.4069
D6 Exp.,2,0.5,0.440628,-4.9e-05,0.9995,0.41
D6 Exp.,5,0.5,0.381566,4e-05,0.9992,0.4075
D7 Log.,1,0.5,0.397634,7.1e-05,0.9992,0.4462
D7 Log.,2,0.5,0.443414,1e-05,0.9998,0.4527
D7 Log.,5,0.5,0.412306,4.2e-05,0.9997,0.4408
D8 Step,1,0.5,0.130144,-1.5e-05,0.9997,0.1189
D8 Step,2,0.5,0.145679,-4.7e-05,0.9984,0.1025
D8 Step,5,0.5,0.289882,-6.8e-05,0.9991,0.2287
D9 Parab.,1,0.5,0.357768,-2e-06,1.0,0.3562
D9 Parab.,2,0.5,0.208651,8e-06,0.9999,0.2136
D9 Parab.,5,0.5,0.257529,-7.9e-05,0.9987,0.1846
