Distribution,d_X,noise,emp_slope,theory_slope,slope_diff,R2
D0 Indep.,1,0.1,-0.1562,-0.5,0.3438,0.1942
D0 Indep.,2,0.1,-0.263,-0.5,0.237,0.3416
D0 Indep.,5,0.1,0.045,-0.2,0.245,0.1053
D0 Indep.,10,0.1,-0.3544,-0.1,-0.2544,0.4018
D1 Linear,1,0.1,-0.022,-0.5,0.478,0.6422
D1 Linear,2,0.1,-0.1657,-0.5,0.3343,0.7609
D1 Linear,5,0.1,-0.4678,-0.2,-0.2678,0.9973
D1 Linear,10,0.1,-0.2237,-0.1,-0.1237,0.9998
D2 Quad.,1,0.1,-0.0134,-0.5,0.4866,0.6474
D2 Quad.,2,0.1,-0.1552,-0.5,0.3448,0.7724
D2 Quad.,5,0.1,-0.3385,-0.2,-0.1385,0.9997
D2 Quad.,10,0.1,-0.1436,-0.1,-0.0436,0.9993
D3 Cubic,1,0.1,-0.0107,-0.5,0.4893,0.6684
D3 Cubic,2,0.1,-0.1325,-0.5,0.3675,0.7448
D3 Cubic,5,0.1,-0.3283,-0.2,-0.1283,0.9978
D3 Cubic,10,0.1,-0.1331,-0.1,-0.0331,0.9998
D4 Sine,1,0.1,-0.0198,-0.5,0.4802,0.6707
D4 Sine,2,0.1,-0.1292,-0.5,0.3708,0.8129
D4 Sine,5,0.1,-0.3284,-0.2,-0.1284,0.9944
D4 Sine,10,0.1,-0.2025,-0.1,-0.1025,0.9996
D5 Cosine,1,0.1,-0.005,-0.5,0.495,0.63
D5 Cosine,2,0.1,-0.0596,-0.5,0.4404,0.7026
D5 Cosine,5,0.1,-0.2248,-0.2,-0.0248,0.9887
D5 Cosine,10,0.1,-0.1328,-0.1,-0.0328,0.9999
D6 Exp.,1,0.1,-0.0062,-0.5,0.4938,0.6958
D6 Exp.,2,0.1,-0.0597,-0.5,0.4403,0.6974
D6 Exp.,5,0.1,-0.2631,-0.2,-0.0631,0.9784
D6 Exp.,10,0.1,-0.1922,-0.1,-0.0922,0.9991
D7 Log.,1,0.1,-0.0072,-0.5,0.4928,0.6013
D7 Log.,2,0.1,-0.0368,-0.5,0.4632,0.6851
D7 Log.,5,0.1,-0.0997,-0.2,0.1003,0.976
D7 Log.,10,0.1,-0.0615,-0.1,0.0385,0.999
D8 Step,1,0.1,-0.0032,-0.5,0.4968,0.6213
D8 Step,2,0.1,-0.0404,-0.5,0.4596,0.8623
D8 Step,5,0.1,-0.1141,-0.2,0.0859,0.9874
D8 Step,10,0.1,-0.0899,-0.1,0.0101,0.994
D9 Parab.,1,0.1,-0.013,-0.5,0.487,0.6241
D9 Parab.,2,0.1,-0.1832,-0.5,0.3168,0.7849
D9 Parab.,5,0.1,-0.3763,-0.2,-0.1763,0.9995
D9 Parab.,10,0.1,-0.1515,-0.1,-0.0515,0.9991
D0 Indep.,1,0.5,-0.3648,-0.5,0.1352,0.641
D0 Indep.,2,0.5,-0.6437,-0.5,-0.1437,0.6685
D0 Indep.,5,0.5,-0.5072,-0.2,-0.3072,0.6173
D0 Indep.,10,0.5,-0.2231,-0.1,-0.1231,0.21
D1 Linear,1,0.5,-0.0038,-0.5,0.4962,0.782
D1 Linear,2,0.5,-0.0116,-0.5,0.4884,0.6504
D1 Linear,5,0.5,-0.0962,-0.2,0.1038,0.9359
D1 Linear,10,0.5,-0.0703,-0.1,0.0297,0.9833
D2 Quad.,1,0.5,-0.0035,-0.5,0.4965,0.7968
D2 Quad.,2,0.5,-0.0222,-0.5,0.4778,0.672
D2 Quad.,5,0.5,-0.1049,-0.2,0.0951,0.9692
D2 Quad.,10,0.5,-0.084,-0.1,0.016,0.9986
D3 Cubic,1,0.5,-0.0041,-0.5,0.4959,0.534
D3 Cubic,2,0.5,-0.0295,-0.5,0.4705,0.6947
D3 Cubic,5,0.5,-0.1413,-0.2,0.0587,0.9868
D3 Cubic,10,0.5,-0.0942,-0.1,0.0058,0.9974
D4 Sine,1,0.5,-0.0038,-0.5,0.4962,0.5495
D4 Sine,2,0.5,-0.0081,-0.5,0.4919,0.7543
D4 Sine,5,0.5,-0.0368,-0.2,0.1632,0.9194
D4 Sine,10,0.5,-0.0503,-0.1,0.0497,0.9752
D5 Cosine,1,0.5,-0.0017,-0.5,0.4983,0.7186
D5 Cosine,2,0.5,-0.0048,-0.5,0.4952,0.6974
D5 Cosine,5,0.5,-0.0258,-0.2,0.1742,0.9295
D5 Cosine,10,0.5,-0.0278,-0.1,0.0722,0.9925
D6 Exp.,1,0.5,-0.0015,-0.5,0.4985,0.5736
D6 Exp.,2,0.5,-0.0033,-0.5,0.4967,0.7694
D6 Exp.,5,0.5,-0.0218,-0.2,0.1782,0.931
D6 Exp.,10,0.5,-0.032,-0.1,0.068,0.9776
D7 Log.,1,0.5,-0.0009,-0.5,0.4991,0.497
D7 Log.,2,0.5,-0.0014,-0.5,0.4986,0.8826
D7 Log.,5,0.5,-0.0089,-0.2,0.1911,0.8856
D7 Log.,10,0.5,-0.0074,-0.1,0.0926,0.9956
D8 Step,1,0.5,-0.003,-0.5,0.497,0.6345
D8 Step,2,0.5,-0.0326,-0.5,0.4674,0.8662
D8 Step,5,0.5,-0.0899,-0.2,0.1101,0.984
D8 Step,10,0.5,-0.071,-0.1,0.029,0.9927
D9 Parab.,1,0.5,-0.0024,-0.5,0.4976,0.7134
D9 Parab.,2,0.5,-0.0269,-0.5,0.4731,0.7066
D9 Parab.,5,0.5,-0.1391,-0.2,0.0609,0.9762
D9 Parab.,10,0.5,-0.1002,-0.1,-0.0002,0.9993
